Date,Open,High,Low,Close,Volume,,,,,,
03-01-2000,237.5,251.7,237.5,251.7,4456424,,,,,,
04-01-2000,258.4,271.85,251.3,271.85,9487878,,,,,,
05-01-2000,256.65,287.9,256.65,282.5,26833684,,,,,,
06-01-2000,289,300.7,289,294.35,15682286,,,,,,
07-01-2000,295,317.9,293,314.55,19870977,,,,,,
10-01-2000,317.4,318.7,305.3,308.5,13417057,,,,,,
11-01-2000,307.95,310.95,283.85,288.5,12544322,,,,,,
12-01-2000,289,305,282.15,301.7,12109507,,,,,,
13-01-2000,306,316.4,304.1,311.85,17076042,,,,,,
14-01-2000,309.5,321.65,309.5,316.3,13460592,,,,,,
17-01-2000,318.25,322.9,307.05,308.75,10729180,,,,,,
18-01-2000,309,318.95,305.55,314.2,10083321,,,,,,
19-01-2000,322.85,324.9,316.2,319.6,11481392,,,,,,
20-01-2000,320,324.9,310.55,312.85,15428711,,,,,,
21-01-2000,312.7,328.4,312,326.35,17137072,,,,,,
24-01-2000,325.5,331.85,322,326.15,13163301,,,,,,
25-01-2000,325.05,325.3,318.25,319.95,9752949,,,,,,
27-01-2000,329,336.8,322.7,334.95,15014556,,,,,,
28-01-2000,335.9,341.9,331.6,338.35,11734252,,,,,,
31-01-2000,334.45,336,326.55,328.15,10191331,,,,,,
01-02-2000,330.8,337.45,328,334.05,10707804,,,,,,
02-02-2000,342.9,346.9,338.55,340.15,9950848,,,,,,
03-02-2000,342,343.5,336.4,341.65,6771527,,,,,,
04-02-2000,344,347.35,341.7,344.15,7106910,,,,,,
07-02-2000,341.1,349.45,338.05,343.6,8193641,,,,,,
08-02-2000,345.5,346.9,341.05,342.4,6430661,,,,,,
09-02-2000,349,354.65,344.8,350.4,11436821,,,,,,
10-02-2000,348.8,363.8,344.9,355.75,10792579,,,,,,
11-02-2000,364,374,360.05,363.3,8155627,,,,,,
14-02-2000,359,360.9,350,352.1,5127399,,,,,,
15-02-2000,352,354.4,342.05,344.35,8124337,,,,,,
16-02-2000,350,353.8,343.1,348.15,7876392,,,,,,
17-02-2000,347.7,356.8,347.5,354.55,7670820,,,,,,
18-02-2000,356.9,357.95,348,349.45,5030667,,,,,,
21-02-2000,348.4,352,341.65,345.65,2944404,,,,,,
22-02-2000,346,347,332.5,334.35,7192242,,,,,,
23-02-2000,344.7,344.7,327.3,329.8,4831725,,,,,,
24-02-2000,332.9,340.7,329.3,336.75,5663873,,,,,,
25-02-2000,341.4,342.9,326.1,328.6,3912097,,,,,,
28-02-2000,324.85,337.25,310,333.1,5026004,,,,,,
29-02-2000,337.9,342.85,306.45,310.85,9970107,,,,,,
01-03-2000,315,329.85,299,316.8,10765888,,,,,,
02-03-2000,318.85,322,291.5,291.75,12536245,,,,,,
03-03-2000,286.1,286.1,268.45,268.45,4636776,,,,,,
06-03-2000,268.45,283.85,247,253.95,10430713,,,,,,
07-03-2000,257,259,240,242.3,9560450,,,,,,
08-03-2000,246.9,250.5,230,232.95,7256376,,,,,,
09-03-2000,235.9,242.4,224.15,231.3,5545792,,,,,,
10-03-2000,234,234.8,214.6,216.85,6597169,,,,,,
13-03-2000,219.9,229.5,200.3,203.2,10765401,,,,,,
14-03-2000,205.5,219.5,197.15,219.2,10106318,,,,,,
15-03-2000,224,236.75,216,236.75,5711222,,,,,,
16-03-2000,239.5,247.8,230.1,234.85,10564295,,,,,,
21-03-2000,238.8,242.8,227.6,237.9,6838036,,,,,,
22-03-2000,245,248.5,241.2,243.4,4931613,,,,,,
23-03-2000,245.25,245.8,238.55,240.95,4286132,,,,,,
24-03-2000,239.2,242.95,237.65,240.6,2637850,,,,,,
27-03-2000,243,259.85,243,259.85,4141666,,,,,,
28-03-2000,263.1,280.65,263.1,280.65,7026761,,,,,,
29-03-2000,284.8,289.9,269,271.3,10277833,,,,,,
30-03-2000,269,293,258.3,293,17168324,,,,,,
31-03-2000,297,316.45,280.1,316.45,19704184,,,,,,
03-04-2000,327.65,333.7,318.1,328.6,21353020,,,,,,
04-04-2000,326,326,302.35,302.35,13530488,,,,,,
05-04-2000,303.4,312,278.25,302.25,25186375,,,,,,
06-04-2000,303,326.45,302.55,326.15,16239068,,,,,,
07-04-2000,329.8,352.25,329.8,352.25,11686144,,,,,,
10-04-2000,369.9,380,359.5,364.55,22110719,,,,,,
11-04-2000,358,359,346.5,353.75,9759550,,,,,,
12-04-2000,357,360,334.4,337.95,17263869,,,,,,
13-04-2000,331.1,331.1,310.95,310.95,225213,,,,,,
17-04-2000,286.1,300.8,286.1,298.4,15931668,,,,,,
18-04-2000,297.1,308.9,294,300.05,8775778,,,,,,
19-04-2000,307.7,324.05,303.1,314.85,16293725,,,,,,
20-04-2000,313,340.05,309.25,337.75,19387991,,,,,,
24-04-2000,346,360.6,323,336.95,17618258,,,,,,
25-04-2000,322.3,339.5,311.65,332.05,15809540,,,,,,
26-04-2000,340,358.65,340,357.95,16998445,,,,,,
27-04-2000,360.8,366,338.3,345.65,29547592,,,,,,
28-04-2000,347.5,351.9,340.3,345.05,13426369,,,,,,
02-05-2000,348,354.65,325.25,329.15,16424665,,,,,,
03-05-2000,327,333.85,309.2,328,13760253,,,,,,
04-05-2000,331,342.95,331,337.2,11327281,,,,,,
05-05-2000,338.5,341.55,328.1,335.35,11144621,,,,,,
08-05-2000,331,337,322.3,324,5891336,,,,,,
09-05-2000,321.5,331.85,318.4,328.35,6136642,,,,,,
10-05-2000,330,334.9,323.3,325.25,6652614,,,,,,
11-05-2000,324.05,324.05,314,316.75,6428965,,,,,,
12-05-2000,319.6,322.5,313.3,315.9,4135346,,,,,,
15-05-2000,312.05,324.7,306.5,319.5,5797353,,,,,,
